tag,count
survival,86
zombies,30
open world,130
open world survival craft,22
crafting,40
multiplayer,207
sandbox,94
building,51
co-op,134
survival horror,28
adventure,195
action,219
early access,65
online co-op,64
horror,54
fps,65
singleplayer,269
rpg,102
indie,148
gore,61
+,325
anime,27
sexual content,16
nudity,24
visual novel,6
mystery,5
story rich,98
cute,21
magic,7
kickstarter,6
crowdfunded,3
exploration,59
relaxing,15
pixel graphics,19
3d platformer,8
nature,3
walking simulator,8
casual,58
funny,58
great soundtrack,128
female protagonist,41
short,3
family friendly,36
simulation,120
third person,58
mature,19
base building,31
nsfw,4
artificial intelligence,4
character customization,33
third-person shooter,16
dystopian,5
dating sim,7
shooter,72
retro,14
fantasy,61
first-person,102
violent,49
dark fantasy,18
fast-paced,10
atmospheric,146
dark,14
arena shooter,2
classic,38
colorful,17
blood,6
+s,1
dinosaurs,3
massively multiplayer,24
dragons,4
sci-fi,64
mmorpg,12
space,30
pirates,1
pvp,18
pve,8
psychological horror,17
strategy,135
rts,30
medieval,19
historical,30
city builder,20
resource management,20
tactical,45
real-time,9
competitive,16
masterpiece,63
replay value,38
remake,19
2d,43
isometric,18
war,26
military,19
real-time with pause,11
mythology,4
epic,6
aliens,13
stealth,24
difficult,70
futuristic,13
automobile sim,12
driving,11
america,5
realistic,42
moddable,46
economy,19
management,39
card game,11
turn-based,42
card battler,3
turn-based combat,18
puzzle,33
solitaire,1
mouse only,4
inventory management,2
crpg,7
cold war,3
wargame,3
assassin,3
parkour,10
choices matter,22
steampunk,4
illuminati,3
racing,14
sports,16
vr,17
physics,20
controller,17
3d vision,2
trackir,2
metroidvania,10
platformer,18
cyberpunk,7
side scroller,7
board game,21
world war ii,10
tabletop,11
jrpg,14
naval,1
memes,11
mechs,4
turn-based tactics,17
turn-based strategy,26
robots,8
hunting,4
dungeons & dragons,3
party-based rpg,9
submarine,1
underwater,7
batman,5
superhero,7
detective,5
fighting,13
comic book,10
beat 'em up,7
action-adventure,5
procedural generation,10
perma death,8
roguelike,17
warhammer 40k,8
real time tactics,8
games workshop,9
destruction,11
free to play,4
rhythm,3
music,2
swordplay,6
star wars,5
music-based procedural generation,1
local multiplayer,25
local co-op,23
cartoony,6
puzzle platformer,6
3d,2
split screen,8
hack and slash,17
fishing,3
mod,5
loot,8
looter shooter,5
comedy,30
combat,3
action rpg,24
dark humor,4
co-op campaign,2
tanks,5
top-down shooter,3
roguelite,13
twin stick shooter,1
souls-like,12
vampire,1
post-apocalyptic,32
linear,3
hero shooter,2
quick-time events,3
education,5
addictive,6
modern,1
team-based,13
esports,4
trading,3
1990's,3
lore-rich,5
soundtrack,3
demons,2
voxel,1
dark comedy,2
dungeon crawler,8
lovecraftian,5
gothic,1
colony sim,8
political,3
roguevania,1
action roguelike,7
cinematic,2
heist,4
noir,1
surreal,3
top-down,7
level editor,2
tower defense,3
4 player local,8
otome,1
beautiful,10
interactive fiction,2
space sim,8
grand strategy,13
political sim,3
diplomacy,2
arcade,8
moba,2
automation,2
trains,5
cult classic,4
western,4
software,1
utilities,1
game development,1
old school,1
farming sim,3
agriculture,3
soccer,2
football,2
strategy rpg,2
hex grid,8
hockey,1
2d fighter,6
2.5d,6
tutorial,1
god game,2
4x,7
animation & modeling,1
auto battler,1
mini golf,1
golf,1
crime,4
hand-drawn,4
silent protagonist,2
multiple endings,7
gun customization,2
precision platformer,1
time attack,1
design & illustration,1
battle royale,3
experimental,1
point & click,9
stylized,3
bullet hell,3
ninja,4
alternate history,3
science,3
choose your own adventure,5
horses,4
software training,1
lego,3
villain protagonist,2
experience,2
narration,1
romance,2
based on a novel,3
cartoon,2
sequel,1
capitalism,1
offroad,1
life sim,3
mining,1
basketball,1
drama,5
deckbuilding,3
emotional,3
martial arts,1
thriller,1
outbreak sim,1
cats,1
dog,1
politics,2
minigames,1
bikes,1
motorbike,2
gamemaker,1
bullet time,1
time manipulation,2
minimalist,1
parody,1
satire,2
skateboarding,1
skating,1
lara croft,1
mars,2
3d fighter,1
chess,1
flight,3
trivia,6
philosophical,2
investigation,1
episodic,4
touch-friendly,1
lgbtq+,1
time travel,1
rome,2
faith,1
transportation,3
hentai,1
underground,1
tactical rpg,1
grid-based movement,1
hacking,1
trading card game,1
